id,name,is_pickup_available
1,Abra,F
2,Agusan Del Norte,F
3,Agusan Del Sur,F
4,Aklan,F
5,Albay,F
6,Antique,F
7,Apayao,F
8,Aurora,F
9,Basilan,F
10,Bataan,F
11,Batanes,F
12,Batangas,F
13,Benguet,F
14,Biliran,F
15,Bohol,F
16,Bukidnon,F
17,Bulacan,T
18,Cagayan,F
19,Camarines Norte,F
20,Camarines Sur,F
21,Camiguin,F
22,Capiz,F
23,Cantanduanes,F
24,Cavite,T
25,Cebu,F
26,Cotabato,F
27,Davao Del Norte,F
28,Davao Del Sur,F
29,Davao Occidental,F
30,Davao Oriental,F
31,Davao de Oro,F
32,Dinagat Islands,F
33,Eastern Samar,F
34,Guimaras,F
35,Ifugao,F
36,Ilocos Norte,F
37,Ilocos Sur,F
38,Iloilo,F
39,Isabela,F
40,Kalinga,F
41,La Union,F
42,Laguna,T
43,Lanao Del Norte,F
44,Lanao Del Sur,F
45,Leyte,F
46,Maguindanao,F
47,Marinduque,F
48,Masbate,F
49,Metro Manila,T
50,Misamis Occidental,F
51,Misamis Oriental,F
52,Mountain Province,F
53,Negros Occidental,F
54,Negros Oriental,F
55,Northern Samar,F
56,Nueva Ecija,F
57,Nueva Vizcaya,F
58,Occidental Mindoro,F
59,Oriental Mindoro,F
60,Palawan,F
61,Pampanga,F
62,Pangasinan,F
63,Quezon,F
64,Quirino,F
65,Rizal,T
66,Romblon,F
67,Samar,F
68,Sarangani,F
69,Suquijor,F
70,Sorsogon,F
71,South Cotabato,F
72,Southern Leyte,F
73,Sultan Kudarat,F
74,Sulu,F
75,Surigao Del Norte,F
76,Surigao Del Sur,F
77,Tarlac,F
78,Tawi-Tawi,F
79,Zambales,F
80,Zamboaga Del Norte,F
81,Zamboaga Del Sur,F
82,Zamboaga Sibugay,F
